Date,ACWI,FEZ,SPY,HYG,LQD,TLT,USO,GLD
2015-06-15,50.79803848,29.89054298,178.178894,56.44330215,87.12200928,95.98859406,161.1999969,113.7300034
2015-06-16,50.92296982,29.82879639,179.1502533,56.76096725,87.34016418,96.74422455,162.0800018,113.3199997
2015-06-17,50.95627975,29.68984222,179.4399719,56.71015549,87.33264923,95.9967041,161.6799927,113.8499985
2015-06-18,51.46434402,30.23792648,181.3060455,56.91982651,87.17469788,95.52545166,162.8800049,115.3199997
2015-06-19,51.15617752,30.06700325,180.5011292,56.95161057,87.6410675,96.75236511,160.1600037,115.1200027
2015-06-20,51.15617752,30.06700325,180.5011292,56.95161057,87.6410675,96.75236511,160.1600037,115.1200027
2015-06-21,51.15617752,30.06700325,180.5011292,56.95161057,87.6410675,96.75236511,160.1600037,115.1200027
2015-06-22,51.77251434,31.22493935,181.4259186,57.06595612,86.94903564,94.77799988,161.2799988,113.6399994
2015-06-23,51.88911819,31.15403938,181.5542908,57.02782822,86.75348663,94.20923615,163.7599945,112.8899994
2015-06-24,51.52266312,30.89409828,180.2357178,56.87533569,86.99414825,95.02174377,161.6799927,112.5899963
2015-06-25,51.36927795,30.94924164,179.6877289,56.70381927,86.85128021,94.68858337,159.8399963,112.4400024
2015-06-26,51.31872177,31.07527351,179.6534576,56.53861618,86.45263672,93.62424469,159.8399963,112.5599976
2015-06-27,51.31872177,31.07527351,179.6534576,56.53861618,86.45263672,93.62424469,159.8399963,112.5599976
2015-06-28,51.31872177,31.07527351,179.6534576,56.53861618,86.45263672,93.62424469,159.8399963,112.5599976
2015-06-29,50.01257324,29.67314529,175.8861237,56.15104294,87.20475769,96.10231018,156.0800018,113.0699997
2015-06-30,50.09684372,29.48409462,176.2542725,56.41788864,87.03932953,95.43605042,159.0399933,112.3700027
2015-07-01,50.40020752,29.66526413,177.6670227,56.42745972,86.76019287,94.14789581,152.8000031,111.9800034
2015-07-02,50.43391418,29.54710388,177.5043488,56.63806534,87.09210205,94.45730591,151.4400024,111.7600021
2015-07-03,50.43391418,29.54710388,177.5043488,56.63806534,87.09210205,94.45730591,151.4400024,111.7600021
2015-07-04,50.43391418,29.54710388,177.5043488,56.63806534,87.09210205,94.45730591,151.4400024,111.7600021
2015-07-05,50.43391418,29.54710388,177.5043488,56.63806534,87.09210205,94.45730591,151.4400024,111.7600021
2015-07-06,49.83560944,28.46793938,176.9992218,56.453022,87.43908691,96.20803833,141.8399963,112.0599976
2015-07-07,49.88617706,28.53883553,178.1122894,56.49763489,87.80113983,97.11193085,142.0800018,110.7600021
2015-07-08,48.87497711,28.17648697,175.124054,56.21688843,87.92185211,97.95061493,139.0399933,111.0899963
2015-07-09,49.27945709,28.84603691,175.4408722,56.34450912,87.34104156,96.02075958,141.6799927,111.3600006
2015-07-10,50.32436752,30.42934799,177.6499176,56.66996765,86.78284454,94.49803162,141.3600006,111.4899979
2015-07-11,50.32436752,30.42934799,177.6499176,56.66996765,86.78284454,94.49803162,141.3600006,111.4899979
2015-07-12,50.32436752,30.42934799,177.6499176,56.66996765,86.78284454,94.49803162,141.3600006,111.4899979
2015-07-13,50.71199036,30.3820858,179.6107025,56.72102737,86.59427643,94.20490265,140.0800018,110.9899979
2015-07-14,51.02378845,30.58689499,180.3898926,56.66358566,86.66968536,94.51428223,141.7599945,110.7399979
2015-07-15,50.88895416,30.48448944,180.3299408,56.66358566,86.89596558,95.51590729,137.8399963,110.1600037
2015-07-16,51.25974274,30.79169083,181.7769623,56.75293732,87.03174591,96.17549133,136.3999939,109.7600021
2015-07-17,51.22603226,30.65778542,181.9310608,56.59978867,87.09210205,96.67218781,135.9199982,108.6500015
2015-07-18,51.22603226,30.65778542,181.9310608,56.59978867,87.09210205,96.67218781,135.9199982,108.6500015
2015-07-19,51.22603226,30.65778542,181.9310608,56.59978867,87.09210205,96.67218781,135.9199982,108.6500015
2015-07-20,51.23444748,30.74443626,182.0252686,56.33813477,86.88845825,96.26506042,133.5200043,105.6999969
2015-07-21,51.1080513,30.68929482,181.3060303,56.23602676,87.06947327,96.78618622,135.2799988,105.3700027
2015-07-22,50.82997894,30.56325531,180.9806213,55.87225342,87.18262482,97.38874817,130.7200012,104.8000031
2015-07-23,50.57717133,30.54750061,179.9617004,55.84033585,87.43908691,98.60207367,129.1199951,104.3300018
2015-07-24,50.03785706,30.2324276,178.0951691,55.68080521,87.4013443,98.84632874,128.2400055,105.3499985
2015-07-25,50.03785706,30.2324276,178.0951691,55.68080521,87.4013443,98.84632874,128.2400055,105.3499985
2015-07-26,50.03785706,30.2324276,178.0951691,55.68080521,87.4013443,98.84632874,128.2400055,105.3499985
2015-07-27,49.57438278,29.94095612,177.0591431,55.44468689,87.40892029,99.37559509,125.1999969,104.8600006
2015-07-28,50.16426468,30.27181244,179.2339478,55.74463654,87.34104156,98.65093231,126.8000031,105.0199966
2015-07-29,50.4760437,30.29544067,180.4668884,56.07012177,87.26559448,98.28446198,129.9199982,105.1699982
